No.,カテゴリ,スポット名,住所,緯度,経度
1,① 富士山の絶景スポット,河口湖,山梨県南都留郡富士河口湖町,35.5139785,138.7457739
2,① 富士山の絶景スポット,山中湖,山梨県南都留郡山中湖村,35.415,138.865
3,① 富士山の絶景スポット,富士芝桜まつり会場,山梨県南都留郡富士河口湖町本栖212,35.4423834,138.601609
4,① 富士山の絶景スポット,新倉山浅間公園（忠霊塔）,山梨県富士吉田市新倉3353-1,35.5007584,138.8013902
5,① 富士山の絶景スポット,富士山五合目（富士スバルライン五合目）,山梨県南都留郡鳴沢村字富士山8545-1,35.3942429,138.7323449
6,② 富士山以外の絶景スポット,昇仙峡,山梨県甲府市高成町,35.7452778,138.5675968
7,② 富士山以外の絶景スポット,西沢渓谷,山梨県山梨市三富川浦,35.8694718,138.7400806
8,② 富士山以外の絶景スポット,八ヶ岳高原,山梨県北杜市高根町清里,35.9246663,138.4076446
9,② 富士山以外の絶景スポット,本栖湖,山梨県南巨摩郡身延町中ノ倉,35.4643359,138.5870607
10,② 富士山以外の絶景スポット,夢見ヶ丘（清里テラス）,山梨県北杜市高根町清里3545,35.9504157,138.4020572
11,③ 歴史的建造物,武田神社,山梨県甲府市古府中町2611,35.6867759,138.5772053
12,③ 歴史的建造物,甲府城（舞鶴城公園）,山梨県甲府市丸の内1丁目5-4,35.6653758,138.5713903
13,③ 歴史的建造物,大善寺,山梨県甲州市勝沼町勝沼3559,35.6570518,138.7430526
14,③ 歴史的建造物,身延山久遠寺,山梨県南巨摩郡身延町身延3567,35.3814663,138.4260655
15,③ 歴史的建造物,甘草屋敷,山梨県甲州市塩山上於曽1651,35.7064899,138.7347592
16,④ フルーツ（体験・名所）,笛吹市のフルーツ公園,山梨県山梨市江曽原1488,35.7016011,138.6644625
17,④ フルーツ（体験・名所）,桃源郷（笛吹桃源郷公園）,山梨県笛吹市一宮町,35.62881497,138.6781275
18,④ フルーツ（体験・名所）,勝沼ぶどう郷,山梨県甲州市勝沼町,35.6742064,138.7367121
19,④ フルーツ（体験・名所）,いちごランド笛吹,山梨県笛吹市石和町唐柏382,35.7039638,138.6767789
20,④ フルーツ（体験・名所）,フルーツパーク富士屋ホテル,山梨県山梨市江曽原1388,35.7032391,138.6613941
21,⑤ ワイン,シャトー・メルシャン,山梨県甲州市勝沼町下岩崎1425-1,35.6595642,138.7230434
22,⑤ ワイン,グレイスワイン,山梨県甲州市勝沼町等々力173,35.6657003,138.7141172
23,⑤ ワイン,丸藤葡萄酒工業（ルバイヤートワイン）,山梨県甲州市勝沼町下岩崎457,35.6500796,138.7144606
24,⑤ ワイン,中央葡萄酒 明野ワイナリー,山梨県北杜市明野町上手11909,35.7827353,138.4672917
25,⑥ 郷土料理（体験・レストラン）,ほうとう不動（河口湖）,山梨県南都留郡富士河口湖町河口707,35.5226364,138.7736471
26,⑥ 郷土料理（体験・レストラン）,吉田のうどん（富士吉田市内各店）,山梨県富士吉田市,35.4890289,138.8019741
27,⑥ 郷土料理（体験・レストラン）,信玄餅テーマパーク（桔梗屋）,山梨県笛吹市一宮町坪井1928,35.65,138.6
28,⑥ 郷土料理（体験・レストラン）,黒富士農場,山梨県甲斐市上芦沢1312,35.7885032,138.5367783
