No.,カテゴリ,スポット名,住所,緯度,経度
1,① 富士山の絶景スポット,山中湖,山梨県南都留郡山中湖村,35.415,138.865
2,② 富士山以外の絶景スポット,昇仙峡,山梨県甲府市高成町,35.7452778,138.5675968
3,② 富士山以外の絶景スポット,西沢渓谷,山梨県山梨市三富川浦,35.8694718,138.7400806
4,② 富士山以外の絶景スポット,八ヶ岳高原,山梨県北杜市高根町清里,35.9246663,138.4076446
5,② 富士山以外の絶景スポット,清里テラス,山梨県北杜市高根町清里3545,35.9504157,138.4020572
6,③ 歴史的建造物,武田神社,山梨県甲府市古府中町2611,35.6867759,138.5772053
7,④ フルーツ（体験・名所）,フルーツ公園,山梨県山梨市江曽原1488,35.7016011,138.6644625
8,④ フルーツ（体験・名所）,八代ふるさと公園,山梨県笛吹市八代町岡2223-1,35.6027147,138.6455187
9,⑤ ワイン,ルバイヤートワイン,山梨県甲州市勝沼町下岩崎457,35.6500796,138.7144606
10,⑥ 郷土料理（体験・レストラン）,桔梗信玄餅,山梨県笛吹市一宮町坪井1928,35.65,138.6
11,⑦ 温泉,ほったらかし温泉,山梨県山梨市矢坪1669-18,35.7067085,138.6518668
12,⑧ トレッキング,富士登山,山梨県富士吉田市,35.4135434,138.7586828
13,⑨ 遊園地,富士急ハイランド,山梨県富士吉田市新西原5丁目6-1,35.4869342,138.7805708
14,⑨ 遊園地,リニア見学センター,山梨県都留市小形山2381,35.5833779,138.9257209
15,⑩ その他の観光施設,忍野八海,山梨県南都留郡忍野村忍草,35.4601223,138.8324691
16,インスタ映え,山中湖花の都公園,山梨県南都留郡山中湖村山中1650,35.4392831,138.8512718
17,インスタ映え,鳴沢氷穴,山梨県南都留郡鳴沢村8533,35.4749138,138.6670359
18,ハッシュタグ,河口湖ステラシアター,山梨県南都留郡富士河口湖町船津5577,35.4802358,138.7593992
